district_code,district_name,block_mandal_code,block_mandal_name,village_code,village_name,habitation_code,area_sq_m,area_ha,area_sq_km,area_acres,perimeter_m,centroid_lon,centroid_lat,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,geometry_type,source_more_40ha,source_less_40ha,source_total,source_dmvt,OBJECTID,OBJECTID_1
08,NALGONDA,0855,NAMPALLE,0855027,Deveth Palle,08093550270117,5838889.56467,583.8889564670001,5.8388895646700005,1442.8210332224314,9628.262183,78.95172221856637,16.790555514120733,78.94128916980567,16.775764127907212,78.96521471578373,16.805201001332712,Polygon,,1.0,1.0,1.0,2738,852
07,MAHABUBNAGAR,0723,JADCHERLA,0723015,Gangapur,07075230150112,11163425.445312,1116.3425445312,11.163425445312,2758.542503144082,14189.14069,78.18163227896693,16.776743936733467,78.16184613588847,16.75610568832364,78.2001863490011,16.795910750112636,Polygon,,6.0,6.0,6.0,2741,853
07,MAHABUBNAGAR,0719,VELDANDA,0719009,Seriappareddipalle,07083190090109,11702482.231037,1170.2482231037,11.702482231037001,2891.746335813122,15051.097073,78.69078161148448,16.784175608412117,78.66963500088467,16.758154468041624,78.71177048753286,16.800427935168173,Polygon,,1.0,1.0,1.0,2742,854
07,MAHABUBNAGAR,0729,NARAYANPET,0729007,Kothapalle,07073290070205,6848003.535472,684.8003535472,6.848003535472,1692.1785259213054,11594.074377,77.54230085385942,16.766587166221903,77.52555920774174,16.75044239161533,77.56020784875119,16.785213289220604,Polygon,,1.0,1.0,1.0,2744,855
07,MAHABUBNAGAR,0707,KOILKONDA,0707021,Nallavelly,07073070210216,1653291.9375,165.32919375,1.6532919375,408.53733489252636,5522.633269,77.78414327992984,16.78287990058958,77.7732945128798,16.777682856718606,77.7954576238003,16.7882273950601,Polygon,,1.0,1.0,1.0,2745,856
08,NALGONDA,0853,PEDDA ADISERLA PALLE,0853006,Ghanpalle,08086530060104,9209045.176439,920.9045176439,9.209045176439,2275.604621272318,11946.784528,79.12821060171606,16.787595223231275,79.11460965684496,16.767304846817343,79.143848573624,16.802675764765276,Polygon,,5.0,5.0,5.0,2748,857
08,NALGONDA,0856,CHINTHA PALLE,0856021,Humanthulapalle,08086560210120,14061744.038465,1406.1744038465001,14.061744038465001,3474.732624718532,15541.897399,78.81077811770852,16.777090717388717,78.78957888007196,16.756975426502557,78.83144479053237,16.798548688771888,Polygon,,3.0,3.0,3.0,2750,858
08,NALGONDA,0856,CHINTHA PALLE,0856020,Mallareddipalle,08086560200117,16533889.547929,1653.3889547929,16.533889547929,4085.613083876973,17324.019372,78.84736279659806,16.77998798416708,78.82464809730858,16.756145454773865,78.87630789677304,16.798523600419557,Polygon,,3.0,3.0,3.0,2751,859
08,NALGONDA,0853,PEDDA ADISERLA PALLE,0853007,Bheemana Palle,08086530070104,16927974.389728,1692.7974389728,16.927974389728,4182.993569040143,18324.636276,79.15453608179563,16.773951748714325,79.13404485277209,16.74146715666135,79.17400757410803,16.801052101824773,Polygon,,4.0,4.0,4.0,2752,860
08,NALGONDA,0852,PEDDAVOORA,0852007,Garnekunta,08087520070106,14694591.596615,1469.4591596615,14.694591596615,3631.1126619857514,22201.046602,79.19604853370545,16.771705327242504,79.16512893456803,16.747635772014394,79.22394219075355,16.80112711811396,Polygon,,2.0,2.0,2.0,2753,861
07,MAHABUBNAGAR,0729,NARAYANPET,0729012,Seranpalle,07073290120120,7034717.897807,703.4717897807,7.034717897807,1738.3166496514941,11553.04915,77.56009105549266,16.760766211860236,77.54221720069295,16.74506858052744,77.57675747837834,16.780114747177763,Polygon,,1.0,1.0,1.0,2754,862
