district_code,district_name,block_mandal_code,block_mandal_name,villages,polygon_features,area_sq_km,area_acres,min_lon,min_lat,max_lon,max_lat
07,MAHABUBNAGAR,0756,MALDAKAL,19,19,231.420261278168,57185.19194237278,77.62703876492567,16.016129797797117,77.79206060910258,16.212190822466823
07,MAHABUBNAGAR,0761,MANOPAD,30,30,287.197302446173,70967.99897730244,77.86613579856156,15.863030525477496,78.07150261253014,16.09403669764982
07,MAHABUBNAGAR,0721,MIDJIL,28,28,278.827922620625,68899.8801828668,78.22794152869953,16.663344077258042,78.47938316965126,16.841949550671135
07,MAHABUBNAGAR,0740,NAGARKURNOOL,25,25,228.516888672404,56467.75294708414,78.20009905685129,16.353271718632744,78.42420231521024,16.53542330298006
07,MAHABUBNAGAR,0729,NARAYANPET,26,26,243.855267034689,60257.948783384294,77.42615599522085,16.63677369100879,77.68740568337117,16.806095486627846
07,MAHABUBNAGAR,0733,NARVA,31,31,298.661563358555,73800.8795432957,77.57418155451806,16.339625320181145,77.76352772205273,16.584653234477404
07,MAHABUBNAGAR,0709,NAWABPET,27,27,223.704046338924,55278.473706328245,77.97639978596375,16.778096248514608,78.12857032854298,17.014382954950516
07,MAHABUBNAGAR,0752,PANGAL,27,27,285.317232183591,70503.42349788203,78.02820343492073,16.11323676501071,78.22703920729408,16.344164887141044
07,MAHABUBNAGAR,0753,PEBBAIR,28,29,280.283181257218,69259.4824233955,77.9148276373781,16.02765552431941,78.09521945470725,16.2707555010197
07,MAHABUBNAGAR,0748,PEDDAKOTHAPALLE,26,26,264.776461527038,65427.68852916495,78.27921685561232,16.15470082361434,78.45248997899523,16.38090982946461
07,MAHABUBNAGAR,0737,PEDDAMANDADI,15,15,186.005434844976,45962.94393233376,77.88866580883914,16.368066998740826,78.08690677073933,16.532279450029808
07,MAHABUBNAGAR,0741,TADOOR,23,23,229.56290725952098,56726.229769075435,78.26383334152239,16.497332642742585,78.44930739505598,16.676771479669874
07,MAHABUBNAGAR,0715,TALAKONDAPALLE,29,29,269.425863570376,66576.5807946782,78.31709073250336,16.790557287829834,78.49540471649813,17.016542142101418
07,MAHABUBNAGAR,0742,TELKAPALLE,20,20,238.303199014072,58886.00289721808,78.34625367850789,16.296015381014996,78.51518734497321,16.52598146595972
07,MAHABUBNAGAR,0722,THIMMAJIPET,19,19,213.028185824777,52640.411121489706,78.12906913404596,16.591303374422086,78.3364893115108,16.75395232529113
07,MAHABUBNAGAR,0743,UPPUNUNTHALA,22,22,212.877397579606,52603.15053464596,78.46950196478616,16.42781476228825,78.78103963743406,16.54023970694387
07,MAHABUBNAGAR,0730,UTKOOR,28,28,265.35506547204,65570.66467771308,77.41886245703157,16.549573862474485,77.63792067321066,16.73780103885436
07,MAHABUBNAGAR,0718,VANGOOR,23,23,401.023391078048,99095.03802959729,78.47180566699373,16.49212766284551,78.79192274401703,16.780004356873764
07,MAHABUBNAGAR,0763,VEEPANGANDLA,26,26,340.195604303401,84064.16457484473,78.03908436367428,15.944390270739815,78.2597141802,16.161588095814952
07,MAHABUBNAGAR,0719,VELDANDA,20,20,325.477083923731,80427.13898179414,78.44985421556433,16.654567794106356,78.71177048753286,16.845723071030363
07,MAHABUBNAGAR,0759,WADDEPALLE,20,20,265.154508773062,65521.10603810632,77.64421165470193,15.875484802745202,77.89398763399689,16.028805385822555
07,MAHABUBNAGAR,0751,WANAPARTHY,22,22,202.86217087575199,50128.33411950998,77.95188185375038,16.25662627114842,78.1348754644544,16.468915208790516
04,MEDAK,0407,ALLADURG,20,20,171.08970911035001,42277.187834819386,77.82839157689436,17.836769040783658,78.00614390742166,18.015398761842086
